시,빈도수,Top,대여소,대여소빈도수
0,133,1,502. 뚝섬유원지역 1번출구 앞,3000
1,65,1,
2,58,1,
3,24,1,
4,9,1,
5,7,1,,
6,35,1,,
7,63,1,,
8,126,1,,
9,101,1,,
10,86,1,,
11,106,1,,
12,97,1,,
13,103,1,,
14,125,1,,
15,149,1,,
16,179,1,,
17,179,1,,
18,223,1,,
19,226,1,,
20,233,1,,
21,251,1,,
22,251,1,,
23,171,1,,
0,91,2,207. 여의나루역 1번출구 앞,2879
1,60,2,,
2,34,2,,
3,19,2,,
4,11,2,,
5,5,2,,
6,27,2,,
7,104,2,,
8,175,2,,
9,83,2,,
10,68,2,,
11,66,2,,
12,121,2,,
13,94,2,,
14,134,2,,
15,139,2,,
16,166,2,,
17,247,2,,
18,238,2,,
19,242,2,,
20,214,2,,
21,206,2,,
22,199,2,,
23,136,2,,
0,114,3,152. 마포구민체육센터 앞,2522
1,52,3,,
2,30,3,,
3,17,3,,
4,8,3,,
5,8,3,,
6,18,3,,
7,67,3,,
8,63,3,,
9,72,3,,
10,72,3,,
11,91,3,,
12,64,3,,
13,75,3,,
14,84,3,,
15,140,3,,
16,158,3,,
17,169,3,,
18,184,3,,
19,214,3,,
20,225,3,,
21,224,3,,
22,197,3,,
23,176,3,,
