시,빈도수,Top,대여소,대여소빈도수
0,88,1,207. 여의나루역 1번출구 앞,3390
1,62,1,502. 뚝섬유원지역 1번출구 앞,3294
2,42,1,2102. 봉림교 교통섬,2573
3,16,1,152. 마포구민체육센터 앞,2500
4,13,1,272. 당산육갑문,2220
5,6,1,,
6,32,1,,
7,107,1,,
8,154,1,,
9,90,1,,
10,80,1,,
11,105,1,,
12,138,1,,
13,171,1,,
14,200,1,,
15,237,1,,
16,263,1,,
17,308,1,,
18,321,1,,
19,226,1,,
20,221,1,,
21,206,1,,
22,184,1,,
23,120,1,,
0,115,2,502. 뚝섬유원지역 1번출구 앞,3294
1,62,2,,
2,21,2,,
3,11,2,,
4,17,2,,
5,19,2,,
6,61,2,,
7,70,2,,
8,133,2,,
9,71,2,,
10,100,2,,
11,104,2,,
12,118,2,,
13,151,2,,
14,204,2,,
15,219,2,,
16,261,2,,
17,254,2,,
18,298,2,,
19,258,2,,
20,225,2,,
21,194,2,,
22,186,2,,
23,142,2,,
0,82,3,2102. 봉림교 교통섬,2573
1,60,3,,
2,60,3,,
3,43,3,,
4,14,3,,
5,16,3,,
6,31,3,,
7,61,3,,
8,116,3,,
9,80,3,,
10,65,3,,
11,86,3,,
12,140,3,,
13,122,3,,
14,138,3,,
15,155,3,,
16,168,3,,
17,173,3,,
18,206,3,,
19,160,3,,
20,168,3,,
21,175,3,,
22,159,3,,
23,95,3,,
