시,빈도수,Top,대여소,대여소빈도수
0,39,1,2715.마곡나루역 2번 출구 ,3002
1,34,1,1210. 롯데월드타워(잠실역2번출구 쪽),2462
2,22,1,770.목동역5번출구 교통정보센터 앞,2230
3,11,1,"1153. 발산역 1번, 9번 인근 대여소",2196
4,6,1,230. 영등포구청역 1번출구,2138
5,9,1,,
6,69,1,,
7,94,1,,
8,268,1,,
9,157,1,,
10,125,1,,
11,126,1,,
12,159,1,,
13,156,1,,
14,177,1,,
15,173,1,,
16,187,1,,
17,231,1,,
18,283,1,,
19,195,1,,
20,147,1,,
21,150,1,,
22,113,1,,
23,71,1,,
0,25,2,1210. 롯데월드타워(잠실역2번출구 쪽),2462
1,20,2,,
2,14,2,,
3,8,2,,
4,3,2,,
5,2,2,,
6,13,2,,
7,46,2,,
8,208,2,,
9,95,2,,
10,91,2,,
11,80,2,,
12,119,2,,
13,131,2,,
14,135,2,,
15,156,2,,
16,201,2,,
17,210,2,,
18,268,2,,
19,177,2,,
20,151,2,,
21,146,2,,
22,111,2,,
23,52,2,,
0,41,3,770.목동역5번출구 교통정보센터 앞,2230
1,37,3,,
2,28,3,,
3,19,3,,
4,9,3,,
5,4,3,,
6,50,3,,
7,95,3,,
8,187,3,,
9,77,3,,
10,60,3,,
11,92,3,,
12,113,3,,
13,111,3,,
14,119,3,,
15,115,3,,
16,122,3,,
17,151,3,,
18,221,3,,
19,142,3,,
20,129,3,,
21,117,3,,
22,108,3,,
23,83,3,,
