Month,Product,mm
2020,431,0
Jan,211,1
Feb,346,2
Mar,863,3
Apr,3409,4
May,3856,5
Jun,4058,6
Jul,3860,7
Aug,3428,8
Sep,4134,9
Oct,3619,10
Nov,2360,11
Dec,1570,12
