Month,Product,mm
2020,849,0
Jan,643,1
Feb,812,2
Mar,1556,3
Apr,4058,4
May,4199,5
Jun,4683,6
Jul,4839,7
Aug,4570,8
Sep,5545,9
Oct,4826,10
Nov,3592,11
Dec,2894,12
