Month,Product,mm
2020,2143,0
Jan,1408,1
Feb,1961,2
Mar,4698,3
Apr,14380,4
May,15532,5
Jun,17272,6
Jul,18495,7
Aug,18742,8
Sep,21039,9
Oct,17503,10
Nov,11778,11
Dec,8132,12
