Month,Product,mm
2020,357,0
Jan,232,1
Feb,324,2
Mar,947,3
Apr,2985,4
May,2986,5
Jun,3297,6
Jul,3383,7
Aug,3394,8
Sep,3810,9
Oct,3290,10
Nov,2304,11
Dec,1391,12
