Month,Product,mm
2020,170,0
Jan,125,1
Feb,192,2
Mar,518,3
Apr,1913,4
May,2348,5
Jun,2799,6
Jul,3886,7
Aug,4770,8
Sep,4691,9
Oct,3379,10
Nov,1944,11
Dec,1270,12
