Month,Product,mm
2020,197,0
Jan,125,1
Feb,162,2
Mar,426,3
Apr,776,4
May,716,5
Jun,720,6
Jul,765,7
Aug,756,8
Sep,865,9
Oct,821,10
Nov,565,11
Dec,420,12
